start_id,end_id,level,type
1932423317601800340,ROOT,0,original
1932671787957174648,1932423317601800340,1,reply_to
1932672354364371051,1932671787957174648,2,reply_to
1932628492039917638,1932423317601800340,1,reply_to
1932761109938807060,1932423317601800340,1,reply_to
1933151703911580046,1932423317601800340,1,reply_to
1932991320156467466,1932423317601800340,1,reply_to
1932801915886182661,1932423317601800340,1,reply_to
1933081209296585006,1932423317601800340,1,reply_to
1932957699764900179,1932423317601800340,1,reply_to
1932706886299857284,1932423317601800340,1,reply_to
1932845485523402878,1932423317601800340,1,reply_to
1932633830923571346,1932423317601800340,1,reply_to
1932579475927281891,1932423317601800340,1,reply_to
1932733748510146946,1932423317601800340,1,reply_to
1932778155888066845,1932423317601800340,1,reply_to
1932760874416287846,1932423317601800340,1,reply_to
1932784278687134163,1932423317601800340,1,reply_to
1932737487635689731,1932423317601800340,1,reply_to
1932724115066257613,1932423317601800340,1,reply_to
1932748828223934687,1932423317601800340,1,reply_to
1932525376837648785,1932423317601800340,1,reply_to
1932740259718312088,1932423317601800340,1,reply_to
1932707417596572163,1932423317601800340,1,reply_to
1932763664345673917,1932423317601800340,1,reply_to
1932587610872164493,1932423317601800340,1,reply_to
1932884186475687974,1932423317601800340,1,reply_to
1932919587143889082,1932423317601800340,1,reply_to
1932924728437813412,1932423317601800340,1,reply_to
1932740227795214711,1932423317601800340,1,reply_to
1932425704219562215,1932423317601800340,1,reply_to
1932501940900147464,1932423317601800340,1,reply_to
1932923709435613481,1932423317601800340,1,reply_to
1932752395735298281,1932423317601800340,1,reply_to
1932860362589892895,1932423317601800340,1,reply_to
1932793193051062759,1932423317601800340,1,reply_to
1932871664804499667,1932423317601800340,1,reply_to
1932604672864628812,1932423317601800340,1,reply_to
1932498780093620298,1932423317601800340,1,reply_to
1932729387683651869,1932423317601800340,1,reply_to
1932757930073293204,1932423317601800340,1,reply_to
1932450571694281113,1932423317601800340,1,reply_to
1932741979273613723,1932423317601800340,1,reply_to
1932428809187557477,1932423317601800340,1,reply_to
1932643313330327690,1932423317601800340,1,reply_to
1933084850128396671,1932423317601800340,1,reply_to
1933140146364596376,1932423317601800340,1,reply_to
1932495966374154340,1932423317601800340,1,reply_to
1933011697935028265,1932423317601800340,1,reply_to
1932568315437686798,1932423317601800340,1,reply_to
1933129382496747670,1932423317601800340,1,reply_to
1933105530689790158,1932423317601800340,1,reply_to
1932907831360999789,1932423317601800340,1,reply_to
1932918029706481775,1932423317601800340,1,reply_to
1932911326776487944,1932423317601800340,1,reply_to
1933118772631785558,1932423317601800340,1,reply_to
1933123539198173683,1932423317601800340,1,reply_to
1932731888709538120,1932423317601800340,1,reply_to
1933113291616010524,1932423317601800340,1,reply_to
1932984463320826166,1932423317601800340,1,reply_to
1932779300425703902,1932423317601800340,1,reply_to
